"","yield","pheno_2","pheno_3"
"DS11-08182",362.063263733783,1270.54754896336,161.005696755403
"DS11-12143",416.540623903568,1075.3834950342,148.827499663196
"DS11-03004",302.55622353123,800.090312727188,163.869169564611
"DS11-24022",370.9918710258,1056.05494744776,149.544336396565
"DS11-33036",312.719539385299,1162.58383769784,139.066673875194
"DS11-26206",279.439363957699,879.079687235398,149.464101493089
"DS11-05068",279.033023840708,1017.53316480062,122.900995022002
"DS11-54115",368.520055603766,1069.4912198654,130.844667285944
"DS11-26331",375.161604533134,1285.35367110251,148.522251011125
"DS11-08022",304.64906064511,922.316317536922,136.880777991145
"DS11-11084",373.535557350816,1164.43754120544,171.935425329407
"DS11-36144",276.472080266956,892.949399699781,114.738502812778
"DS11-08157",270.864636975831,1188.25038208938,151.149029631582
"DS11-41204",278.317491763827,756.914577084129,138.703265826321
"DS11-17125",298.039945925282,827.325497237437,109.647100838494
"DS11-39172",295.317276121196,910.662876751528,98.5608490018731
"DS11-28165",304.722748652773,1148.76871033653,135.802213210872
"DS11-48089",302.257422476241,897.444715642519,143.936231560355
"DS11-23038",291.123296451696,1018.53352976404,150.069584313605
"DS11-15136",297.381968939505,1102.26225264174,145.736536213254
"DS11-10179",336.010032950265,1250.42486202749,159.259074828912
"DS11-12063",231.787289335046,938.195678304341,119.356595413045
"DS11-11105",269.335079124381,973.295308038271,143.736101979417
"DS11-34006",374.859301860915,1135.33130234855,152.178632603308
"DS11-10209",354.008890024312,1138.56427960508,173.098377058637
"DS11-64017",331.885769907914,907.782234796247,133.821927809352
"DS11-25083",277.104916711955,1066.32885959832,143.826538880861
"DS11-37155",304.84245642266,1057.87629803753,125.375447147711
"DS11-39292",292.221940468556,969.846997590713,164.844230119099
"DS11-41142",246.550934865481,914.529668870556,132.09440380389
"DS11-31007",261.395108031766,951.084754582682,119.850055216839
"DS11-02131",209.651079664753,1007.37378886135,142.144311239053
"DS12-18145",276.287213901314,950.657093150478,114.018969879653
"DS11-10029",286.526378317201,1103.95579310453,144.952520657412
"DS11-11051",240.169924435231,932.196817541969,168.765926132816
"DS11-40099",339.7958623077,999.10048871384,124.283040754136
"DS11-31077",239.237643959843,968.57636095504,141.817641639941
"DS11-05152",381.317580593669,962.388515010906,160.797695209883
"DS11-17206",353.31616019688,1014.09704307833,158.75551247988
"DS11-06134",301.299544032648,905.771400225414,127.051872856108
"DS11-13190",262.889514534571,1012.47216610405,142.031673091489
"DS11-04156",343.574808088891,982.765447957966,99.7310686934964
"DS11-31057",243.873482993706,890.935883724497,123.741980521107
"DS11-54004",333.370344464544,1084.3880824515,149.768103940483
"CL0J173-6-8",132.514542905264,462.438439292483,74.343807819613
"DS11-37015",275.331044813976,913.538573473739,152.516790899075
"DS11-32051",344.688278792519,1107.43056647147,145.024539126868
"DS11-26296",279.039346987381,1013.70294681897,128.850344576687
"DS11-50202",324.606288194799,972.049055659562,122.106464928399
"DS11-33083",273.764418694931,1000.29615942685,130.477090523561
"DS11-17173",316.614873576108,938.893888727457,128.364805242785
"DS11-28213",274.197076865166,939.428508594424,123.092907687552
"DS11-54113",240.879945705247,819.601825925571,129.635456370766
"DS11-23148",367.622374383088,1066.26685620341,122.007388047082
"DS11-34061",282.074000597313,1020.91895271772,132.925551186197
"DS11-34014",253.599200016411,782.101171709111,117.558597538947
"DS11-13170",235.874307155934,867.204140613497,139.779633355608
"DS11-24124",333.360474464136,996.082896737607,157.368192382572
"DS11-06203",361.880069172844,884.635539449459,138.599112667904
"DS11-10161",245.355033581323,915.616294545556,133.121628404043
"DS11-25156",328.005688436126,1043.66196370693,148.466611424476
"DS11-39181",214.595798617008,851.658483627241,101.200243163654
"DS11-14174",269.139078320983,1011.74042257538,136.854898299961
"DS11-40154",221.304260500434,922.93721162962,125.052107988913
"DS11-15115",355.366882271748,1051.15856995798,135.207572738524
"DS11-03132",284.503884228872,859.826950676961,155.112921307768
"DS11-31148",352.473848628804,1030.37282823046,166.197963462768
"DS11-31033",327.878094914758,1064.89407510379,130.434331019503
"DS11-37062",298.389747995671,995.876876685197,166.055242230941
"DS11-09236",275.047491914434,963.502792120922,127.346566183124
"DS11-25050",288.118413947114,974.181197427449,148.290100437988
"DS11-31009",237.506842704486,858.662443130918,132.371261746918
"DS11-42041",344.504019831006,1161.5941884653,116.650072817623
"DS11-17062",284.08657107567,887.562824338067,138.03763387139
"DS11-37166",314.174448922064,1083.19676527348,119.268901427258
"DS11-30042",222.353647174181,882.904571908863,107.675709898646
"DS11-40062",255.897922584895,1070.22442679822,133.401460868051
"DS11-33173",266.01036897183,921.366024845774,142.217457746331
"DS11-37105",273.721397262516,934.766039010086,132.030772314096
"DS11-22049",275.379616711114,1114.24853011061,164.197761228441
"DS11-08062",314.444841311684,1016.68000286853,158.718494619079
"DS11-42033",320.965090449426,1157.96913060794,168.33271130433
"DS11-22021",306.457703600572,1031.63571991349,147.402931601147
"DS11-32038",356.930670113113,1147.7923127234,155.061693772871
"DS11-25008",306.381070434315,1012.84037637023,169.39151762089
"DS11-27205",339.434539741003,977.019299836377,142.376524789379
"DS11-13026",347.992287759091,1198.36410726803,134.060949428846
"DS11-32043",308.075167072099,907.590558310981,140.113648538822
"DS11-48174",360.336861980457,1015.2188229553,152.24884063331
"DS11-39220",307.094253482608,1181.38607411876,137.799469874835
"DS11-15203",246.676955261032,988.445925632117,154.038995709891
"DS11-22113",295.568709769796,912.011157140407,115.599488461789
"DS11-38168",350.263248834399,1158.31016897093,175.43506490182
"DS11-15024",321.930551869761,939.025861518217,137.131930029304
"DS11-31109",365.511574413685,1262.19746084002,180.668187240158
"DS11-27283",346.567859379891,1252.88482363978,163.536797714987
"DS11-32117",238.007080951923,1229.43498788586,162.182408711129
"DS11-25171",366.07418217877,1062.92490946685,176.583986924085
"DS11-42039",300.690377912456,1083.85189175017,144.653730826841
"DS11-40040",259.057521109142,892.036213421728,130.956160187684
"DS11-12058",305.113082201398,910.907283566065,130.509520451177
"DS11-48158",269.504278281774,719.385739038859,131.410508859156
"DS12-18028",348.186219485207,963.511581723633,146.934645188474
"DS11-04074",414.867066408876,1169.949119101,144.527331362002
"DS11-54157",232.981128800954,1101.20690432037,138.134603191939
"DS11-09169",320.601400836628,880.085822302342,144.797887425229
"DS11-38024",333.720345094778,1161.34260882933,174.862458910822
"DS11-09035",285.975053989447,832.945221275247,102.617978746015
"DS11-27282",339.65579084117,1135.15890259244,150.553881018754
"DS11-11123",375.033182648827,1095.76282786448,147.938087958976
"DS11-12054",263.460288897713,1029.60961392786,146.644502621685
"DS11-33010",314.062582018184,910.081798459493,147.411672468212
"DS11-08147",307.925471015961,1052.63527309933,155.07130581906
"DS11-03082",300.273515243784,995.721425472016,127.506222763915
"DS11-12176",280.162650242919,1072.521661628,141.078488585819
"DS12-18127",303.884308620144,1049.12102476543,141.886786940051
"DS11-27246",292.413277440675,997.770860287464,124.814415125856
"DS11-12075",267.382685336932,753.231027745371,103.288044774026
"DS11-06017",382.674245541125,1223.61145212191,165.45217298502
"DS11-10177",380.699015130611,1143.96809587384,165.909736241055
"DS12-18141",232.998307633791,828.895257173408,124.180305598525
"DS11-30127",268.636531231684,938.242651251781,149.445016322265
"DS11-14146",293.307756912425,1134.62993508562,141.444889411774
"DS11-05191",332.356402332697,1115.23215175975,125.927357213186
"DS11-08086",352.407260965486,1018.00105432745,120.123481918587
"DS11-09106",232.111347673996,908.803300220693,138.692524884608
"DS11-48107",235.668727923315,880.103707075239,117.742470967157
"DS11-29044",275.592896301662,925.736279041981,157.359732158253
"DS11-32037",347.622369856648,1144.49033224768,180.613286434507
"DS11-13083",339.680515217951,1047.87073304132,151.317562972722
"DS11-48247",336.361378222955,952.139705115644,153.270775283583
"DS11-36089",286.265080536258,945.379516673001,170.095534923582
"DS11-64139",300.591215732512,925.680345477492,142.128619583162
"DS11-27257",331.386662663969,1148.58503152032,158.80123566464
"DS11-29082",287.910208984957,941.477822045709,130.819036724826
"DS11-38196",292.597803191144,1064.66129766259,127.900732389498
"DS11-31063",331.381499442474,987.751200487425,147.394440151794
"DS11-48241",263.030915179172,911.067863166118,141.613310885283
"DS11-05053",257.545332500842,942.918814041843,133.017794832115
"DS11-24165",383.177707393032,1032.7226551814,122.629038284736
"DS11-15126",246.129736793267,1132.18531020077,154.01312802362
"DS11-26172",229.235959328288,1038.79802738092,123.857874768391
"DS11-11097",289.813391222708,889.503086983301,121.604258944075
"DS11-15209",293.423025752047,891.899313153114,134.613811137992
"DS11-06144",247.601026402588,875.524820860104,100.13134352695
"DS11-08037",353.642297218321,1119.34243531892,145.65168920406
"DS11-31091",290.788203024064,1033.28368426442,131.619383396377
"DS11-24175",295.381523870394,945.153535942232,150.69747596379
"DS11-54048",287.048461821402,869.503121730768,145.117774641786
"DS11-24112",333.838513212247,1004.58092607661,165.448745218902
"DS11-17091",353.247742090057,1296.4470961547,165.663418621696
"DS11-33078",362.541162548413,961.416454543873,144.94537684782
"DS11-02123",316.86252195476,1133.07320365222,162.543177637957
"DS11-12003",292.924534097616,886.374297089588,136.505576274997
"DS11-54012",312.952102738286,1073.30893241834,137.22306264361
"DS11-05058",367.171272774529,956.172638904842,136.373463311056
"DS11-31078",207.118289495995,693.562688073264,115.261001265935
"DS11-32002",391.553385123769,1395.84723127263,166.694762175527
"DS11-30030",267.380908922135,841.075556000804,118.102286454065
"DS11-32029",279.916160333919,1160.72299233936,128.891024063347
"DS11-48144",225.847016928162,922.236132680104,150.915523821551
"DS11-34053",252.266742200557,990.635092720686,130.09170501739
"DS11-40077",299.012126582629,860.919825488468,127.058513980836
"DS11-48192",301.121465493631,967.009519936309,139.294781616298
"DS11-22167",293.813776975634,1108.85086113496,152.186136202288
"DS11-29008",305.149648472328,1142.35430976062,132.779385096714
"DS11-02140",244.485129572026,802.263148071512,154.90921872421
"DS11-15051",215.888476136822,963.059208958613,152.112022213866
"DS11-50270",258.129268295024,1057.69782628729,131.363713540461
"DS11-13120",265.2243574937,866.059733700916,149.983337426548
"DS11-02158",314.927148284374,1063.49020360184,159.24715712659
"DS11-08060",312.462932333954,851.515550300745,151.532422323258
"DS11-25061",322.85389508107,1140.51280770675,135.146371795221
"DS11-24024",283.111732982455,978.069549912284,140.347690511324
"DS11-25032",280.81327426693,1228.58674140094,150.342254374498
"DS11-24080",226.827031526115,713.038326234821,125.100346049534
"DS11-15004",340.494259648258,897.91450603036,101.008074851257
"DS11-33011",310.842387329101,1050.47443140363,170.191661326159
"DS11-31070",278.429882140452,1074.02319235779,131.701160844931
"DS11-39184",304.967101552261,801.738301782571,146.460063994138
"DS11-42035",221.560555921124,831.814038351642,120.758185948706
"DS11-10137",306.775746185977,990.387554507201,146.980016422997
"DS11-31031",260.758103781654,1021.12282119723,128.965482290186
"DS11-64025",279.579980112003,832.463657768225,126.115024555344
"DS11-40123",365.496542981693,1007.83533419531,148.675872813528
"DS11-28291",319.487000819897,1057.57747874876,115.338796607746
"DS11-06194",310.450798292127,1119.81431655573,160.177903144179
"DS11-37066",340.765336454059,1075.83171303463,154.749651616947
"DS11-31038",365.243735816471,1224.01957177986,115.055772901153
"DS11-22137",291.403708587995,1108.39012116838,137.429879059601
"DS11-42114",231.911489619015,771.966897160631,110.245762322428
"DS11-04061",321.882469856863,1042.70707473716,142.265642373248
"DS11-08117",233.94195460299,894.786810222154,110.722754696942
"DS11-10128",300.172367222343,954.359881125831,161.694204610801
"DS11-28152",252.764465528173,954.634524195035,139.519440241025
"DS11-40004",292.95761756699,1239.782468614,133.883966409401
"DS11-39270",322.640354755249,1112.10351542967,160.312195215232
"DS11-32211",379.394631924192,1033.18522299712,147.656212554697
"DS11-38017",236.732943382507,1006.41674634269,156.794669880155
"DS11-29155",279.605630636528,1105.96687704154,143.572926927031
"DS11-25067",280.701151591622,948.604964708092,152.553315753725
"DS11-64113",271.173846003809,1005.03705356155,117.517688919104
"DS11-34065",323.283141202657,1048.09582428,129.222885510378
"DS11-38107",276.804152463627,1095.66323387565,117.386269944068
"DS11-50237",239.645447659075,799.894945510261,99.8984956903865
"DS11-40034",223.025730678404,1060.59670535043,151.943190117771
"DS11-31027",322.431849356563,1045.40068149557,154.457643903628
"DS11-48157",212.154190375224,944.955315707874,125.546238537708
"DS11-48167",321.508182765695,1035.67592926669,143.44489871787
"DS11-06035",382.345177688222,1028.40616638529,151.535432944332
"DS11-25210",299.433179393388,1083.5337588064,143.369807223402
"DS11-50147",360.775457013944,1062.93422688671,122.446314624493
"DS11-06027",275.269500617977,848.03378996907,133.211333697948
"DS11-24028",279.645634090228,1134.92588326758,155.652171612086
"DS11-50294",329.183120426105,1072.17943663953,131.795071704742
"DS11-23064",272.222054191709,990.646041170814,169.028785146909
"DS12-18061",259.589114186998,1083.32351131944,120.854398259773
"DS11-12169",324.12366994912,912.83474826785,125.469072967019
"DS11-22168",300.993270255901,880.967609715669,137.734459497072
"DS11-31062",327.045493400428,937.31109964786,143.169322698773
"DS11-39269",314.656954369579,1028.20820854235,158.469034382622
"DS11-24191",290.864948203524,1101.199076307,125.501634587989
"DS11-06065",293.290608177157,1056.37536937395,123.95600396912
"DS11-30068",223.319140476959,862.520292918016,126.780456137912
"DS11-02188",374.25975226364,1088.11252445533,153.570030787864
"DS11-29196",306.087514892723,1162.83826727714,126.609225311469
"DS11-28190",339.988310101938,1125.26541094649,155.578697942192
"DS11-11157",265.334341302763,1016.90944442555,151.427854742895
"DS11-08081",318.761361107767,1156.41324543446,155.962311185305
"DS11-06157",293.122707640993,928.450357387116,127.480483613776
